iteration,steps,episode,policy,value,reward
0,0,0,-100000000.0,0.0,0.0,0.0
1,20,0,-100000000.0,0.0,0.0,0.0
2,40,0,-100000000.0,0.0,0.0,0.0
3,60,0,-100000000.0,0.0,0.0,0.0
4,80,0,-100000000.0,0.0,0.0,0.0
5,100,0,-100000000.0,0.0,0.0,0.0
6,120,0,-100000000.0,0.0,0.0,0.0
7,140,0,-100000000.0,0.0,0.0,0.0
8,160,0,-100000000.0,0.0,0.0,0.0
9,180,0,-100000000.0,0.0,0.0,0.0
10,200,0,-100000000.0,0.0,0.0,0.0
11,220,0,-100000000.0,0.0,0.0,0.0
12,240,0,-100000000.0,0.0,0.0,0.0
13,260,0,-100000000.0,0.0,0.0,0.0
14,280,0,-100000000.0,0.0,0.0,0.0
15,300,0,-100000000.0,0.0,0.0,0.0
16,320,0,-100000000.0,0.0,0.0,0.0
17,340,0,-100000000.0,0.0,0.0,0.0
18,360,0,-100000000.0,0.0,0.0,0.0
19,380,0,-100000000.0,0.0,0.0,0.0
20,400,0,-100000000.0,0.0,0.0,0.0
21,420,0,-100000000.0,0.0,0.0,0.0
22,440,0,-100000000.0,0.0,0.0,0.0
23,460,0,-100000000.0,0.0,0.0,0.0
24,480,0,-100000000.0,0.0,0.0,0.0
25,500,0,-100000000.0,0.0,0.0,0.0
26,520,0,-100000000.0,0.0,0.0,0.0
27,540,0,-100000000.0,0.0,0.0,0.0
28,560,0,-100000000.0,0.0,0.0,0.0
29,580,0,-100000000.0,0.0,0.0,0.0
30,600,0,-100000000.0,0.0,0.0,0.0
31,620,0,-100000000.0,0.0,0.0,0.0
32,640,0,-100000000.0,0.0,0.0,0.0
33,660,0,-100000000.0,0.0,0.0,0.0
34,680,0,-100000000.0,0.0,0.0,0.0
35,700,0,-100000000.0,0.0,0.0,0.0
36,720,0,-100000000.0,0.0,0.0,0.0
37,740,0,-100000000.0,0.0,0.0,0.0
38,760,0,-100000000.0,0.0,0.0,0.0
39,780,0,-100000000.0,0.0,0.0,0.0
40,800,0,-100000000.0,0.0,0.0,0.0
41,820,0,-100000000.0,0.0,0.0,0.0
42,840,0,-100000000.0,0.0,0.0,0.0
43,860,0,-100000000.0,0.0,0.0,0.0
44,880,0,-100000000.0,0.0,0.0,0.0
45,900,0,-100000000.0,0.0,0.0,0.0
46,920,0,-100000000.0,0.0,0.0,0.0
47,940,0,-100000000.0,0.0,0.0,0.0
48,960,0,-100000000.0,0.0,0.0,0.0
49,980,0,-100000000.0,0.0,0.0,0.0
50,1000,0,-100000000.0,0.0,0.0,0.0
51,1020,0,-100000000.0,0.0,0.0,0.0
52,1040,0,-100000000.0,0.0,0.0,0.0
53,1060,0,-100000000.0,0.0,0.0,0.0
54,1080,0,-100000000.0,0.0,0.0,0.0
55,1100,0,-100000000.0,0.0,0.0,0.0
